row_type,scenario,trial,node_count,op_count,topology_kind,edge_count,diameter,convergence_ms,mean_ms,p50_ms,p95_ms
trial,divergence-n2-append-1e3,15,2,2000,partition_heal,1,1,30.160,,,
trial,divergence-n2-append-1e3,16,2,2000,partition_heal,1,1,35.216,,,
trial,divergence-n2-append-1e3,17,2,2000,partition_heal,1,1,29.926,,,
trial,divergence-n2-append-1e3,18,2,2000,partition_heal,1,1,35.005,,,
trial,divergence-n2-append-1e3,19,2,2000,partition_heal,1,1,32.530,,,
trial,divergence-n2-append-1e3,20,2,2000,partition_heal,1,1,31.086,,,
summary,divergence-n2-append-1e3,20,2,2000,partition_heal,1,1,,32.132,31.086,38.616
trial,divergence-n2-random_position-1e3,1,2,2000,partition_heal,1,1,26.223,,,
trial,divergence-n2-random_position-1e3,2,2,2000,partition_heal,1,1,33.783,,,
trial,divergence-n2-random_position-1e3,3,2,2000,partition_heal,1,1,32.428,,,
trial,divergence-n2-random_position-1e3,4,2,2000,partition_heal,1,1,35.689,,,
trial,divergence-n2-random_position-1e3,5,2,2000,partition_heal,1,1,34.947,,,
trial,divergence-n2-random_position-1e3,6,2,2000,partition_heal,1,1,34.828,,,
trial,divergence-n2-random_position-1e3,7,2,2000,partition_heal,1,1,32.089,,,
trial,divergence-n2-random_position-1e3,8,2,2000,partition_heal,1,1,30.870,,,
trial,divergence-n2-random_position-1e3,9,2,2000,partition_heal,1,1,36.231,,,
trial,divergence-n2-random_position-1e3,10,2,2000,partition_heal,1,1,28.702,,,
trial,divergence-n2-random_position-1e3,11,2,2000,partition_heal,1,1,33.357,,,
trial,divergence-n2-random_position-1e3,12,2,2000,partition_heal,1,1,32.356,,,
trial,divergence-n2-random_position-1e3,13,2,2000,partition_heal,1,1,32.586,,,
trial,divergence-n2-random_position-1e3,14,2,2000,partition_heal,1,1,39.043,,,
trial,divergence-n2-random_position-1e3,15,2,2000,partition_heal,1,1,28.674,,,
trial,divergence-n2-random_position-1e3,16,2,2000,partition_heal,1,1,32.714,,,
trial,divergence-n2-random_position-1e3,17,2,2000,partition_heal,1,1,51.739,,,
trial,divergence-n2-random_position-1e3,18,2,2000,partition_heal,1,1,33.273,,,
trial,divergence-n2-random_position-1e3,19,2,2000,partition_heal,1,1,33.131,,,
trial,divergence-n2-random_position-1e3,20,2,2000,partition_heal,1,1,34.572,,,
summary,divergence-n2-random_position-1e3,20,2,2000,partition_heal,1,1,,33.862,33.131,39.043
trial,divergence-n2-same_region-1e3,1,2,2000,partition_heal,1,1,33.828,,,
trial,divergence-n2-same_region-1e3,2,2,2000,partition_heal,1,1,27.788,,,
trial,divergence-n2-same_region-1e3,3,2,2000,partition_heal,1,1,38.836,,,
trial,divergence-n2-same_region-1e3,4,2,2000,partition_heal,1,1,27.196,,,
trial,divergence-n2-same_region-1e3,5,2,2000,partition_heal,1,1,26.728,,,
trial,divergence-n2-same_region-1e3,6,2,2000,partition_heal,1,1,32.878,,,
trial,divergence-n2-same_region-1e3,7,2,2000,partition_heal,1,1,29.342,,,
trial,divergence-n2-same_region-1e3,8,2,2000,partition_heal,1,1,29.611,,,
trial,divergence-n2-same_region-1e3,9,2,2000,partition_heal,1,1,31.772,,,
trial,divergence-n2-same_region-1e3,10,2,2000,partition_heal,1,1,30.432,,,
trial,divergence-n2-same_region-1e3,11,2,2000,partition_heal,1,1,30.521,,,
trial,divergence-n2-same_region-1e3,12,2,2000,partition_heal,1,1,30.749,,,
trial,divergence-n2-same_region-1e3,13,2,2000,partition_heal,1,1,26.163,,,
trial,divergence-n2-same_region-1e3,14,2,2000,partition_heal,1,1,33.114,,,
trial,divergence-n2-same_region-1e3,15,2,2000,partition_heal,1,1,29.900,,,
trial,divergence-n2-same_region-1e3,16,2,2000,partition_heal,1,1,30.896,,,
trial,divergence-n2-same_region-1e3,17,2,2000,partition_heal,1,1,29.277,,,
trial,divergence-n2-same_region-1e3,18,2,2000,partition_heal,1,1,28.923,,,
trial,divergence-n2-same_region-1e3,19,2,2000,partition_heal,1,1,28.101,,,
trial,divergence-n2-same_region-1e3,20,2,2000,partition_heal,1,1,26.442,,,
